CLASS,SUBCLASS,ADDRESS,NAME,CURRENT_ADDRESS,NUM_READS,FROM,TO,TYPE
Settings,Configuration,0x4440,FET Options,0x445f,3,31,33,H2
Settings,Configuration,0x4460,Sbs Gauging Configuration,0x445f,3,3,4,H1
Settings,Configuration,0x4460,Smb Configuration,0x445f,3,5,6,H1
Settings,Configuration,0x4460,Power Config,0x445f,3,37,38,H1
Settings,Configuration,0x4480,LED Configuration,0x445f,3,57,58,H1
Settings,Configuration,0x44a0,Temperature Enable,0x445f,3,83,84,H1
Settings,Configuration,0x44a0,Temperature Mode,0x445f,3,85,86,H1
Settings,Configuration,0x44a0,DA Configuration,0x445f,3,87,88,H1
Settings,Configuration,0x44a0,AFE Cell Map,0x445f,3,89,91,H2
Settings,Configuration,0x4580,CEDV Gauging Configuration,0x458b,1,11,13,H2
Settings,Configuration,0x45c0,SOC Flag Config,0x45d4,1,20,22,H2
Settings,Configuration,0x4600,Balancing Configuration,0x460c,1,12,13,H1
Settings,Fuse,0x4440,PF SAFE A,0x4458,1,24,25,H1
Settings,Fuse,0x4440,PF SAFE B,0x4458,1,26,27,H1
Settings,Fuse,0x4440,PF SAFE C,0x4458,1,28,29,H1
Settings,Fuse,0x4440,Fuse Blow Timeout,0x4458,1,36,37,U1
Settings,Aux SMB Address,0x4460,Addr Reads,0x4463,1,3,4,U1
Settings,Aux SMB Address,0x4460,SMBTAR_ADDR0,0x4463,1,5,6,H1
Settings,Aux SMB Address,0x4460,SMBTAR_ADDR1,0x4463,1,7,8,H1
Settings,Aux SMB Address,0x4460,SMBTAR_ADDR2,0x4463,1,9,10,H1
Settings,Aux SMB Address,0x4460,SMBTAR_ADDR3,0x4463,1,11,12,H1
Settings,Aux SMB Address,0x4460,SMBTAR_ADDR4,0x4463,1,13,14,H1
Settings,Aux SMB Address,0x4460,SMBTAR_ADDR5,0x4463,1,15,16,H1
Settings,Aux SMB Address,0x4460,SMBTAR_ADDR6,0x4463,1,17,18,H1
Settings,Aux SMB Address,0x4460,SMBTAR_ADDR7,0x4463,1,19,20,H1
Settings,SMB Master Mode,0x4460,Host Address,0x446e,1,14,15,H1
Settings,SMB Master Mode,0x4460,Charger Address,0x446e,1,16,17,H1
Settings,SMB Master Mode,0x4460,Alarm Timer,0x446e,1,18,19,U1
Settings,SMB Master Mode,0x4460,Charger Request Timer,0x446e,1,20,21,U1
Settings,Manufacturing,0x42c0,Mfg Status init,0x42c8,1,8,10,H2
Protections,CUV,0x44c0,Threshold,0x44cc,1,12,14,I2
Protections,CUV,0x44c0,Delay,0x44cc,1,16,17,U1
Protections,CUV,0x44c0,Recovery,0x44cc,1,18,20,I2
Protections,COV,0x44c0,Threshold,0x44d1,1,17,19,I2
Protections,COV,0x44c0,Delay,0x44d1,1,21,22,U1
Protections,COV,0x44c0,Recovery,0x44d1,1,23,25,I2
Protections,OCC,0x44c0,Threshold,0x44d6,1,22,24,I2
Protections,OCC,0x44c0,Delay,0x44d6,1,26,27,U1
Protections,OCC,0x44c0,Recovery Threshold,0x44d6,1,28,30,I2
Protections,OCC,0x44c0,Recovery Delay,0x44d6,1,32,33,U1
Protections,OCD,0x44c0,Threshold,0x44dc,1,28,30,I2
Protections,OCD,0x44c0,Delay,0x44dc,1,32,33,U1
Protections,OCD,0x44c0,Recovery Threshold,0x44dc,1,34,36,I2
Protections,OCD,0x44e0,Recovery Delay,0x44dc,1,6,7,U1
Protections,OCDL,0x44e0,Latch Limit,0x44e2,1,2,3,U1
Protections,OCDL,0x44e0,Counter Dec Delay,0x44e2,1,4,5,U1
Protections,OCDL,0x44e0,Reset,0x44e2,1,6,7,U1
Protections,AOLD,0x44a0,Threshold and Delay,0x44b1,1,17,18,H1
Protections,AOLD,0x44e0,Latch Limit,0x44e5,1,5,6,U1
Protections,AOLD,0x44e0,Counter Dec Delay,0x44e5,1,7,8,U1
Protections,AOLD,0x44e0,Recovery,0x44e5,1,9,10,U1
Protections,AOLD,0x44e0,Reset,0x44e5,1,11,12,U1
Protections,ASCD,0x44a0,Threshold and Delay,0x44b0,1,16,17,H1
Protections,ASCD,0x44e0,Latch Limit,0x44e9,1,9,10,U1
Protections,ASCD,0x44e0,Counter Dec Delay,0x44e9,1,11,12,U1
Protections,ASCD,0x44e0,Recovery,0x44e9,1,13,14,U1
Protections,ASCD,0x44e0,Reset,0x44e9,1,15,16,U1
Protections,OTC,0x44e0,Threshold,0x44ed,1,13,15,I2
Protections,OTC,0x44e0,Delay,0x44ed,1,17,18,U1
Protections,OTC,0x44e0,Recovery,0x44ed,1,19,21,I2
Protections,OTD,0x44e0,Threshold,0x44f2,1,18,20,I2
Protections,OTD,0x44e0,Delay,0x44f2,1,22,23,U1
Protections,OTD,0x44e0,Recovery,0x44f2,1,24,26,I2
Protections,OTF,0x44e0,Threshold,0x44f7,1,23,25,I2
Protections,OTF,0x44e0,Delay,0x44f7,1,27,28,U1
Protections,OTF,0x44e0,Recovery,0x44f7,1,29,31,I2
Protections,UTC,0x44e0,Threshold,0x44fc,1,28,30,I2
Protections,UTC,0x44e0,Delay,0x44fc,1,32,33,U1
Protections,UTC,0x44e0,Recovery,0x44fc,1,34,36,I2
Protections,UTD,0x4500,Threshold,0x4501,1,1,3,I2
Protections,UTD,0x4500,Delay,0x4501,1,5,6,U1
Protections,UTD,0x4500,Recovery,0x4501,1,7,9,I2
Protections,AFE External Override,0x4500,Delay,0x4506,1,6,7,U1
Protections,AFE External Override,0x4500,Recovery,0x4506,1,8,9,U1
Protections,PTO,0x4500,Charge Threshold,0x4508,1,8,10,I2
Protections,PTO,0x4500,Suspend Threshold,0x4508,1,12,14,I2
Protections,PTO,0x4500,Delay,0x4508,1,16,18,U2
Protections,PTO,0x4500,Reset,0x4508,1,20,22,I2
Protections,CTO,0x4500,Charge Threshold,0x4510,1,16,18,I2
Protections,CTO,0x4500,Suspend Threshold,0x4510,1,20,22,I2
Protections,CTO,0x4500,Delay,0x4510,1,24,26,U2
Protections,CTO,0x4500,Reset,0x4510,1,28,30,I2
Protections,OC,0x4500,Threshold,0x4518,1,24,26,I2
Protections,OC,0x4500,Recovery,0x4518,1,28,30,I2
Protections,OC,0x4500,RSOC Recovery,0x4518,1,32,33,U1
Permanent Fail,SOCC,0x4520,Threshold,0x4521,1,1,3,I2
Permanent Fail,SOCC,0x4520,Delay,0x4521,1,5,6,U1
Permanent Fail,SOCD,0x4520,Threshold,0x4524,1,4,6,I2
Permanent Fail,SOCD,0x4520,Delay,0x4524,1,8,9,U1
Permanent Fail,SOT,0x4520,Threshold,0x4527,1,7,9,I2
Permanent Fail,SOT,0x4520,Delay,0x4527,1,11,12,U1
Permanent Fail,SOTF,0x4520,Threshold,0x452a,1,10,12,I2
Permanent Fail,SOTF,0x4520,Delay,0x452a,1,14,15,U1
Permanent Fail,Open Thermistor,0x4520,Threshold,0x452d,1,13,15,I2
Permanent Fail,Open Thermistor,0x4520,Delay,0x452d,1,17,18,U1
Permanent Fail,VIMR,0x4520,Check Voltage,0x4530,1,16,18,I2
Permanent Fail,VIMR,0x4520,Check Current,0x4530,1,20,22,I2
Permanent Fail,VIMR,0x4520,Delta Threshold,0x4530,1,24,26,I2
Permanent Fail,VIMR,0x4520,Delta Delay,0x4530,1,28,29,U1
Permanent Fail,VIMR,0x4520,Duration,0x4530,1,30,32,U2
Permanent Fail,CFET,0x4520,OFF Threshold,0x4539,1,25,27,I2
Permanent Fail,CFET,0x4520,OFF Delay,0x4539,1,29,30,U1
Permanent Fail,DFET,0x4520,OFF Threshold,0x453c,1,28,30,I2
Permanent Fail,DFET,0x4520,OFF Delay,0x453c,1,32,33,U1
Permanent Fail,AFER,0x4520,Threshold,0x453f,1,31,32,U1
Permanent Fail,AFER,0x4540,Delay Period,0x453f,1,1,2,U1
Permanent Fail,AFER,0x4540,Compare Period,0x453f,1,3,4,U1
Permanent Fail,AFEC,0x4540,Threshold,0x4542,1,2,3,U1
Permanent Fail,AFEC,0x4540,Delay Period,0x4542,1,4,5,U1
Permanent Fail,AFE XREADY,0x4540,Threshold,0x4544,1,4,5,U1
Permanent Fail,AFE XREADY,0x4540,Delay Period,0x4544,1,6,7,U1
Permanent Fail,AFE External Override,0x4540,Delay,0x4546,1,6,7,U1
Permanent Fail,AFE SOV/AFE SUV,0x44a0,SOV and SUV Delay,0x44b2,1,18,19,H1
Permanent Fail,AFE SOV,0x44a0,Threshold,0x44b7,1,23,25,I2
Permanent Fail,AFE SUV,0x44a0,Threshold,0x44b9,1,25,27,I2
Charge Algorithm,Temperature Ranges,0x45c0,Charge Inhibit/Suspend Low Temp,0x45df,1,31,32,I1
Charge Algorithm,Temperature Ranges,0x45e0,Precharge Temp,0x45df,1,1,2,I1
Charge Algorithm,Temperature Ranges,0x45e0,Charge Inhibit High Temp,0x45df,1,3,4,I1
Charge Algorithm,Temperature Ranges,0x45e0,Charge Suspend High Temp,0x45df,1,5,6,I1
Charge Algorithm,Temperature Ranges,0x45e0,Hysteresis Temp,0x45df,1,7,8,I1
Charge Algorithm,Fast Charging,0x45e0,Voltage,0x45e4,1,4,6,I2
Charge Algorithm,Fast Charging,0x45e0,Current,0x45e4,1,8,10,I2
Charge Algorithm,Pre-Charging,0x45e0,Current,0x45e8,1,8,10,I2
Charge Algorithm,Pre-Charging,0x45e0,Start Voltage,0x45e8,1,12,14,I2
Charge Algorithm,Pre-Charging,0x45e0,Recovery Voltage,0x45e8,1,16,18,I2
Charge Algorithm,Termination Config,0x45e0,Charge Term Taper Current,0x45ee,1,14,16,I2
Charge Algorithm,Termination Config,0x45e0,Charge Term Voltage,0x45ee,1,22,24,I2
Charge Algorithm,Cell Balancing Config,0x4600,Cell Balance Threshold,0x460d,1,13,15,I2
Charge Algorithm,Cell Balancing Config,0x4600,Cell Balance Window,0x460d,1,17,19,I2
Charge Algorithm,Cell Balancing Config,0x4600,Cell Balance Min,0x460d,1,21,22,U1
Charge Algorithm,Cell Balancing Config,0x4600,Cell Balance Interval,0x460d,1,23,24,U1
Fuel Gauging,Current Thresholds,0x44a0,Dsg Current Threshold,0x44bd,1,29,31,I2
Fuel Gauging,Current Thresholds,0x44a0,Chg Current Threshold,0x44bd,1,33,35,I2
Fuel Gauging,Current Thresholds,0x44c0,Quit Current,0x44bd,1,5,7,I2
Fuel Gauging,Current Thresholds,0x44c0,Dsg Relax Time,0x44bd,1,9,10,U1
Fuel Gauging,Current Thresholds,0x44c0,Chg Relax Time,0x44bd,1,11,12,U1
Fuel Gauging,Design,0x45c0,Design Capacity mAh,0x45cc,1,12,14,I2
Fuel Gauging,Design,0x45c0,Design Capacity cWh,0x45cc,1,16,18,I2
Fuel Gauging,Design,0x45c0,Design Voltage,0x45cc,1,20,22,I2
Fuel Gauging,Cycle,0x45c0,Cycle Count Percentage,0x45d2,1,18,19,U1
Fuel Gauging,FD,0x45c0,Set % RSOC Threshold,0x45d6,1,22,23,U1
Fuel Gauging,FD,0x45c0,Clear % RSOC Threshold,0x45d6,1,24,25,U1
Fuel Gauging,FC,0x45c0,Set % RSOC Threshold,0x45d8,1,24,25,U1
Fuel Gauging,FC,0x45c0,Clear % RSOC Threshold,0x45d8,1,26,27,U1
Fuel Gauging,TD,0x45c0,Set % RSOC Threshold,0x45da,1,26,27,U1
Fuel Gauging,TD,0x45c0,Clear % RSOC Threshold,0x45da,1,28,29,U1
Fuel Gauging,TC,0x45c0,Set % RSOC Threshold,0x45dc,1,28,29,U1
Fuel Gauging,TC,0x45c0,Clear % RSOC Threshold,0x45dc,1,30,31,U1
Fuel Gauging,State,0x42c0,Learned Full Charge Capacity,0x42c2,1,2,4,I2
Fuel Gauging,State,0x42c0,Dod at EDV2,0x42c2,1,6,8,I2
Fuel Gauging,State,0x42c0,Cycle Count,0x42c2,1,10,12,U2
Fuel Gauging,CEDV cfg,0x4580,EMF,0x458d,2,13,15,U2
Fuel Gauging,CEDV cfg,0x4580,C0,0x458d,2,17,19,U2
Fuel Gauging,CEDV cfg,0x4580,R0,0x458d,2,21,23,U2
Fuel Gauging,CEDV cfg,0x4580,T0,0x458d,2,25,27,U2
Fuel Gauging,CEDV cfg,0x4580,R1,0x458d,2,29,31,U2
Fuel Gauging,CEDV cfg,0x4580,TC,0x458d,2,33,34,U1
Fuel Gauging,CEDV cfg,0x4580,C1,0x458d,2,35,36,U1
Fuel Gauging,CEDV cfg,0x4580,Age Factor,0x458d,2,37,38,U1
Fuel Gauging,CEDV cfg,0x4580,Fixed EDV 0,0x458d,2,39,41,I2
Fuel Gauging,CEDV cfg,0x4580,EDV 0 Hold Time,0x458d,2,43,44,U1
Fuel Gauging,CEDV cfg,0x4580,Fixed EDV 1,0x458d,2,45,47,I2
Fuel Gauging,CEDV cfg,0x4580,EDV 1 Hold Time,0x458d,2,49,50,U1
Fuel Gauging,CEDV cfg,0x45a0,Fixed EDV 2,0x458d,2,19,21,I2
Fuel Gauging,CEDV cfg,0x45a0,EDV 2 Hold Time,0x458d,2,23,24,U1
Fuel Gauging,CEDV cfg,0x45a0,Battery Low %,0x458d,2,33,35,U2
Fuel Gauging,CEDV cfg,0x45a0,Min Delta V Filter,0x458d,2,41,43,I2
Fuel Gauging,CEDV cfg,0x45a0,FCC Learn Up,0x458d,2,45,47,I2
Fuel Gauging,CEDV cfg,0x45a0,FCC Learn Down,0x458d,2,49,51,I2
Fuel Gauging,CEDV cfg,0x45a0,Learning Low Temp,0x458d,2,59,61,I2
Fuel Gauging,CEDV cfg,0x45a0,Requested Learning cycle count,0x458d,2,77,78,U1
Fuel Gauging,CEDV cfg,0x45a0,OverLoad Current,0x458d,2,79,81,I2
Fuel Gauging,CEDV cfg,0x45c0,Self Discharge Rate,0x458d,2,55,56,U1
Fuel Gauging,CEDV cfg,0x45c0,Electronics Load,0x458d,2,57,59,I2
Fuel Gauging,CEDV cfg,0x45c0,Near Full,0x458d,2,61,63,I2
Fuel Gauging,CEDV cfg,0x45c0,Reserve Capacity,0x458d,2,65,67,I2
Fuel Gauging,CEDV cfg,0x45c0,RemCap Init Percent,0x458d,2,73,74,U1
Power,Power,0x4460,Valid Update Voltage,0x4473,1,19,21,I2
Power,Shutdown,0x4460,Shutdown Voltage,0x4475,1,21,23,I2
Power,Shutdown,0x4460,Shutdown Time,0x4475,1,25,26,U1
Power,Shutdown,0x4460,PF Shutdown Voltage,0x4475,1,27,29,I2
Power,Shutdown,0x4460,PF Shutdown Time,0x4475,1,31,32,U1
Power,Shutdown,0x4460,Charger Present Threshold,0x4475,1,33,35,I2
Power,Sleep,0x4460,Sleep Current,0x447d,1,29,31,I2
Power,Sleep,0x4460,Bus Timeout,0x447d,1,33,34,U1
Power,Sleep,0x4480,Voltage Time,0x447d,1,11,12,U1
Power,Sleep,0x4480,Current Time,0x447d,1,13,14,U1
Power,Ship,0x4480,FET Off Time,0x4487,1,7,8,U1
Power,Ship,0x4480,Delay,0x4487,1,9,10,U1
Power,Ship,0x4480,Auto Ship Time,0x4487,1,11,13,U2
Power,KEYIN,0x4480,Time,0x448b,1,11,12,U1
PF Status,Device Status Data,0x41c0,Safety Alert A,0x41c0,1,0,1,H1
PF Status,Device Status Data,0x41c0,Safety Status A,0x41c0,1,2,3,H1
PF Status,Device Status Data,0x41c0,Safety Alert B,0x41c0,1,4,5,H1
PF Status,Device Status Data,0x41c0,Safety Status B,0x41c0,1,6,7,H1
PF Status,Device Status Data,0x41c0,Safety Alert C,0x41c0,1,8,9,H1
PF Status,Device Status Data,0x41c0,Safety Status C,0x41c0,1,10,11,H1
PF Status,Device Status Data,0x41c0,PF Alert A,0x41c0,1,16,17,H1
PF Status,Device Status Data,0x41c0,PF Status A,0x41c0,1,18,19,H1
PF Status,Device Status Data,0x41c0,PF Alert B,0x41c0,1,20,21,H1
PF Status,Device Status Data,0x41c0,PF Status B,0x41c0,1,22,23,H1
PF Status,Device Status Data,0x41c0,PF Alert C,0x41c0,1,24,25,H1
PF Status,Device Status Data,0x41c0,PF Status C,0x41c0,1,26,27,H1
PF Status,Device Status Data,0x41c0,Fuse Flag,0x41c0,1,32,34,H2
PF Status,Device Status Data,0x41c0,Operation Status A,0x41c0,1,36,38,H2
PF Status,Device Status Data,0x41c0,Operation Status B,0x41c0,1,40,42,H2
PF Status,Device Status Data,0x41c0,Temp Range,0x41c0,1,44,45,H1
PF Status,Device Status Data,0x41c0,Charging Status,0x41c0,1,46,47,H1
PF Status,Device Status Data,0x41c0,Gauging Status,0x41c0,1,48,49,H1
PF Status,Device Status Data,0x41c0,CEDV Status,0x41c0,1,50,51,H1
PF Status,Device Voltage Data,0x41c0,Cell 1 Voltage,0x41da,2,26,28,I2
PF Status,Device Voltage Data,0x41c0,Cell 2 Voltage,0x41da,2,30,32,I2
PF Status,Device Voltage Data,0x41c0,Cell 3 Voltage,0x41da,2,34,36,I2
PF Status,Device Voltage Data,0x41e0,Cell 4 Voltage,0x41da,2,6,8,I2
PF Status,Device Voltage Data,0x41e0,Cell 5 Voltage,0x41da,2,10,12,I2
PF Status,Device Voltage Data,0x41e0,Cell 6 Voltage,0x41da,2,14,16,I2
PF Status,Device Voltage Data,0x41e0,Cell 7 Voltage,0x41da,2,18,20,I2
PF Status,Device Voltage Data,0x41e0,Cell 8 Voltage,0x41da,2,22,24,I2
PF Status,Device Voltage Data,0x41e0,Cell 9 Voltage,0x41da,2,26,28,I2
PF Status,Device Voltage Data,0x41e0,Cell 10 Voltage,0x41da,2,30,32,I2
PF Status,Device Voltage Data,0x41e0,Cell 11 Voltage,0x41da,2,34,36,I2
PF Status,Device Voltage Data,0x41e0,Cell 12 Voltage,0x41da,2,38,40,I2
PF Status,Device Voltage Data,0x41e0,Cell 13 Voltage,0x41da,2,42,44,I2
PF Status,Device Voltage Data,0x41e0,Cell 14 Voltage,0x41da,2,46,48,I2
PF Status,Device Voltage Data,0x41e0,Cell 15 Voltage,0x41da,2,50,52,I2
PF Status,Device Voltage Data,0x41e0,Battery Direct Voltage,0x41da,2,58,60,I2
PF Status,Device Current Data,0x41e0,Current,0x41fe,1,30,32,I2
PF Status,Device Temperature Data,0x4200,TS1 Temperature,0x4200,1,0,2,I2
PF Status,Device Temperature Data,0x4200,TS2 Temperature,0x4200,1,4,6,I2
PF Status,Device Temperature Data,0x4200,TS3 Temperature,0x4200,1,8,10,I2
PF Status,Device Temperature Data,0x4200,Gauge Internal Temperature,0x4200,1,12,14,I2
PF Status,AFE Regs,0x4200,AFE SYS Stat,0x4208,1,8,9,H1
PF Status,AFE Regs,0x4200,AFE Cell Balance1,0x4208,1,10,11,H1
PF Status,AFE Regs,0x4200,AFE Cell Balance2,0x4208,1,12,13,H1
PF Status,AFE Regs,0x4200,AFE Cell Balance3,0x4208,1,14,15,H1
PF Status,AFE Regs,0x4200,AFE Sys Control1,0x4208,1,16,17,H1
PF Status,AFE Regs,0x4200,AFE Sys Control2,0x4208,1,18,19,H1
PF Status,AFE Regs,0x4200,AFE Protection1,0x4208,1,20,21,H1
PF Status,AFE Regs,0x4200,AFE Protection2,0x4208,1,22,23,H1
PF Status,AFE Regs,0x4200,AFE Protection3,0x4208,1,24,25,H1
PF Status,AFE Regs,0x4200,AFE OV Trip,0x4208,1,26,27,H1
PF Status,AFE Regs,0x4200,AFE UV Trip,0x4208,1,28,29,H1
Black Box,Safety Status,0x4180,1st Status Status A,0x4180,1,0,1,H1
Black Box,Safety Status,0x4180,1st Status Status B,0x4180,1,2,3,H1
Black Box,Safety Status,0x4180,1st Safety Status C,0x4180,1,4,5,H1
Black Box,Safety Status,0x4180,1st Time to Next Event,0x4180,1,8,9,U1
Black Box,Safety Status,0x4180,2nd Status Status A,0x4180,1,10,11,H1
Black Box,Safety Status,0x4180,2nd Status Status B,0x4180,1,12,13,H1
Black Box,Safety Status,0x4180,2nd Safety Status C,0x4180,1,14,15,H1
Black Box,Safety Status,0x4180,2nd Time to Next Event,0x4180,1,18,19,U1
Black Box,Safety Status,0x4180,3rd Status Status A,0x4180,1,20,21,H1
Black Box,Safety Status,0x4180,3rd Status Status B,0x4180,1,22,23,H1
Black Box,Safety Status,0x4180,3rd Safety Status C,0x4180,1,24,25,H1
Black Box,Safety Status,0x4180,3rd Time to Next Event,0x4180,1,28,29,U1
Black Box,PF Status,0x4180,1st PF Status A,0x418f,1,15,16,H1
Black Box,PF Status,0x4180,1st PF Status B,0x418f,1,17,18,H1
Black Box,PF Status,0x4180,1st PF Status C,0x418f,1,19,20,H1
Black Box,PF Status,0x4180,1st Time to Next Event,0x418f,1,23,24,U1
Black Box,PF Status,0x4180,2nd PF Status A,0x418f,1,25,26,H1
Black Box,PF Status,0x4180,2nd PF Status B,0x418f,1,27,28,H1
Black Box,PF Status,0x4180,2nd PF Status C,0x418f,1,29,30,H1
Black Box,PF Status,0x4180,2nd Time to Next Event,0x418f,1,33,34,U1
Black Box,PF Status,0x4180,3rd PF Status A,0x418f,1,35,36,H1
Black Box,PF Status,0x4180,3rd PF Status B,0x418f,1,37,38,H1
Black Box,PF Status,0x4180,3rd PF Status C,0x418f,1,39,40,H1
Black Box,PF Status,0x4180,3rd Time to Next Event,0x418f,1,43,44,U1
System Data,Manufacturer Data,0x4040,Manufacturer Info A Length,0x4040,2,0,1,U1
System Data,Manufacturer Data,0x4040,Manufacturer Info Block A01,0x4040,2,2,3,H1
System Data,Manufacturer Data,0x4040,Manufacturer Info Block A02,0x4040,2,4,5,H1
System Data,Manufacturer Data,0x4040,Manufacturer Info Block A03,0x4040,2,6,7,H1
System Data,Manufacturer Data,0x4040,Manufacturer Info Block A04,0x4040,2,8,9,H1
System Data,Manufacturer Data,0x4040,Manufacturer Info Block A05,0x4040,2,10,11,H1
System Data,Manufacturer Data,0x4040,Manufacturer Info Block A06,0x4040,2,12,13,H1
System Data,Manufacturer Data,0x4040,Manufacturer Info Block A07,0x4040,2,14,15,H1
System Data,Manufacturer Data,0x4040,Manufacturer Info Block A08,0x4040,2,16,17,H1
System Data,Manufacturer Data,0x4040,Manufacturer Info Block A09,0x4040,2,18,19,H1
System Data,Manufacturer Data,0x4040,Manufacturer Info Block A10,0x4040,2,20,21,H1
System Data,Manufacturer Data,0x4040,Manufacturer Info Block A11,0x4040,2,22,23,H1
System Data,Manufacturer Data,0x4040,Manufacturer Info Block A12,0x4040,2,24,25,H1
System Data,Manufacturer Data,0x4040,Manufacturer Info Block A13,0x4040,2,26,27,H1
System Data,Manufacturer Data,0x4040,Manufacturer Info Block A14,0x4040,2,28,29,H1
System Data,Manufacturer Data,0x4040,Manufacturer Info Block A15,0x4040,2,30,31,H1
System Data,Manufacturer Data,0x4040,Manufacturer Info Block A16,0x4040,2,32,33,H1
System Data,Manufacturer Data,0x4040,Manufacturer Info Block A17,0x4040,2,34,35,H1
System Data,Manufacturer Data,0x4040,Manufacturer Info Block A18,0x4040,2,36,37,H1
System Data,Manufacturer Data,0x4040,Manufacturer Info Block A19,0x4040,2,38,39,H1
System Data,Manufacturer Data,0x4040,Manufacturer Info Block A20,0x4040,2,40,41,H1
